filename,date,name,title,organization,role
NT50000.txt,1967-01-03,Mr. Robertson,Vice Chairman,,Vice Chairman
NT50000.txt,1967-01-03,Mr. Shepardson,,,
NT50000.txt,1967-01-03,Mr. Mitchell,,,
NT50000.txt,1967-01-03,Mr. Daane,,,
NT50000.txt,1967-01-03,Mr. Maisel,,,
NT50000.txt,1967-01-03,Mr. Brimmer,,,
NT50000.txt,1967-01-03,Mr. Sherman,Secretary,,Secretary
NT50000.txt,1967-01-03,Mr. Kenyon,Assistant Secretary,,
NT50000.txt,1967-01-03,Mr. Bakke,Assistant Secretary,,
NT50000.txt,1967-01-03,Mr. Young,Senior Adviser to the Board,,
NT50000.txt,1967-01-03,Mr. Brill,Senior Adviser to the Boar...,,
NT50000.txt,1967-01-03,Mr. Holland,Adviser to the Board,,
NT50000.txt,1967-01-03,Mr. Solomon,Adviser to the Board and Director,,
NT50000.txt,1967-01-03,Mr. Molony,Assistant to the Board,,
NT50000.txt,1967-01-03,Mr. Fauver,Assistant to the Board,,
NT50000.txt,1967-01-03,Mr. Hackley,General Counsel,,
NT50000.txt,1967-01-03,Mr. Solomon,Director,,
NT50000.txt,1967-01-03,Mr. Hexter,Associate General Counsel,,
NT50000.txt,1967-01-03,Mr. O'Connell,Assistant General Counsel,,
NT50000.txt,1967-01-03,Mr. Shay,Assistant General Counsel,,
NT50000.txt,1967-01-03,Mr. Sammons,Associate Director,,
NT50000.txt,1967-01-03,Mr. Leavitt,Assistant Director,,
NT50000.txt,1967-01-03,Mr. Dahl,Assistant Director,,
NT50000.txt,1967-01-03,Mr. Egertson,Assistant Director,,
NT50000.txt,1967-01-03,Miss Wolcott,Technical Assistant,,
NT50000.txt,1967-01-03,Mr. Forrestal,Senior Attorneys,,
NT50000.txt,1967-01-03,Mrs. Heller,Senior Attorneys,,
NT50000.txt,1967-01-03,Mr. Gemmill,Chief,,
NT50000.txt,1967-01-03,Mr. Maguire,Supervisory Review,,
NT50000.txt,1967-01-03,Mr. Lyon,Supervisory Review,,
NT50001.txt,1965-06-30,Mr. Robertson,Vice Chairman,,Vice Chairman
NT50001.txt,1965-06-30,Mr. Shepardson,,,
NT50001.txt,1965-06-30,Mr. Mitchell,,,
NT50001.txt,1965-06-30,Mr. Daane,,,
NT50001.txt,1965-06-30,Mr. Maisel,,,
NT50001.txt,1965-06-30,Mr. Brimmer,,,
NT50001.txt,1965-06-30,Mr. Sherman,Secretary,,Secretary
NT50001.txt,1965-06-30,Mr. Kenyon,Assistant Secretary,,
NT50001.txt,1965-06-30,Mr. Bakke,Assistant Secretary,,
NT50001.txt,1965-06-30,Mr. Young,Senior Adviser to the Board,,
NT50001.txt,1965-06-30,Mr. Brill,Senior Adviser to the Boar...,,
NT50001.txt,1965-06-30,Mr. Holland,Adviser to the Board,,
NT50001.txt,1965-06-30,Mr. Molony,Assistant to the Board,,
NT50001.txt,1965-06-30,Mr. Fauver,Assistant to the Board,,
NT50001.txt,1965-06-30,Mr. Hackley,General Counsel,,
NT50001.txt,1965-06-30,Mr. Solomon,Director,,
NT50001.txt,1965-06-30,Mr. Johnson,Director,,
NT50001.txt,1965-06-30,Mr. Hexter,Associate General Counsel,,
NT50001.txt,1965-06-30,Mr. 0,,,
NT50001.txt,1965-06-30,Mr. Shay,Assistant General Counsel,,
NT50001.txt,1965-06-30,Mr. Dahl,Assistant Director,,
NT50001.txt,1965-06-30,Mr. Egertson,Assistant Director,,
NT50001.txt,1965-06-30,Mr. Spencer,Staff Assistant,,
NT50001.txt,1965-06-30,Mr. Forrestal,Senior Attorneys,,
NT50001.txt,1965-06-30,Mr. Via,Senior Attorneys,,
NT50001.txt,1965-06-30,Mr. Golden,Senior Economist,,
NT50001.txt,1965-06-30,Mr. Lyon,Supervisory Review Examiner,,
NT50001.txt,1965-06-30,Mr. Goodfellow,Review Examiner,,
NT50002.txt,1967-01-05,Mr. Robertson,Vice Chairman,,Vice Chairman
NT50002.txt,1967-01-05,Mr. Shepardson,,,
NT50002.txt,1967-01-05,Mr. Mitchell,,,
NT50002.txt,1967-01-05,Mr. Maisel,,,
NT50002.txt,1967-01-05,Mr. Brimmer,,,
NT50002.txt,1967-01-05,Mr. Sherman,Secretary,,Secretary
NT50002.txt,1967-01-05,Mr. Kenyon,Assistant Secretary,,
NT50002.txt,1967-01-05,Mr. Bakke,Assistant Secretary,,
NT50002.txt,1967-01-05,Mr. Young,Senior Adviser to the Board,,
NT50002.txt,1967-01-05,Mr. Brill,Senior Adviser to the Boar...,,
NT50002.txt,1967-01-05,Mr. Holland,Adviser to the Board,,
NT50002.txt,1967-01-05,Mr. Molony,Assistant to the Board,,
NT50002.txt,1967-01-05,Mr. Fauver,Assistant to the Board,,
NT50002.txt,1967-01-05,Mr. Hackley,General Counsel,,
NT50002.txt,1967-01-05,Mr. Solomon,Director,,
NT50002.txt,1967-01-05,Mr. Daniels,Assistant Director,,
NT50002.txt,1967-01-05,Mr. Leavitt,Assistant Director,,
NT50002.txt,1967-01-05,Mr. Egertson,Assistant Director,,
NT50002.txt,1967-01-05,Miss Wolcott,Technical Assistant,,
NT50003.txt,1967-01-06,Mr. Robertson,Vice Chairman 1/,,Vice Chairman
NT50003.txt,1967-01-06,Mr. Shepardson,,,
NT50003.txt,1967-01-06,Mr. Mitchell,,,
NT50003.txt,1967-01-06,Mr. Daane,,,
NT50003.txt,1967-01-06,Mr. Maisel,,,
NT50003.txt,1967-01-06,Mr. Brimmer,,,
NT50003.txt,1967-01-06,Mr. Sherman,Secretary,,Secretary
NT50003.txt,1967-01-06,Mr. Kenyon,Assistant Secretary,,
NT50003.txt,1967-01-06,Mr. Broida,Assistant Secretary,,
NT50003.txt,1967-01-06,Mr. Bakke,Assistant Secretary,,
NT50003.txt,1967-01-06,Mr. Young,Senior Adviser to the Board,,
NT50003.txt,1967-01-06,Mr. Brill,Senior Adviser to the Boar...,,
NT50003.txt,1967-01-06,Mr. Holland,Adviser to the Board,,
NT50003.txt,1967-01-06,Mr. Solomon,Adviser to the Board and Director,,
NT50003.txt,1967-01-06,Mr. Molony,Assistant to the Board,,
NT50003.txt,1967-01-06,Mr. Fauver,Assistant to the Board,,
NT50003.txt,1967-01-06,Mr. Solomon,Director,,
NT50003.txt,1967-01-06,Miss Eaton,General Assistant,,
NT50003.txt,1967-01-06,Messrs. Koch,Partee,,
NT50003.txt,1967-01-06,Messrs. Sammons,Katz,,
NT50003.txt,1967-01-06,Mrs. Junz of,,,
NT50003.txt,1967-01-06,Mr. Bernard reported on the Government,,,
NT50004.txt,1967-01-09,Mr. Martin,Chairman,,Chairman
NT50004.txt,1967-01-09,Mr. Robertson,Vice Chairman,,Vice Chairman
NT50004.txt,1967-01-09,Mr. Shepardson,,,
NT50004.txt,1967-01-09,Mr. Mitchell,,,
NT50004.txt,1967-01-09,Mr. Daane,,,
NT50004.txt,1967-01-09,Mr. Maisel,,,
NT50004.txt,1967-01-09,Mr. Brimmer,,,
NT50004.txt,1967-01-09,Mr. Sherman,Secretary,,Secretary
NT50004.txt,1967-01-09,Mr. Kenyon,Assistant Secretary,,
NT50004.txt,1967-01-09,Mr. Broida,Assistant Secretary,,
NT50004.txt,1967-01-09,Mr. Bakke,Assistant Secretary,,
NT50004.txt,1967-01-09,Mr. Young,Senior Adviser to the Board,,
NT50004.txt,1967-01-09,Mr. Brill,Senior Adviser to the Boar...,,
NT50004.txt,1967-01-09,Mr. Holland,Adviser to the Board,,
NT50004.txt,1967-01-09,Mr. Solomon,Adviser to the Board and Director,,
NT50004.txt,1967-01-09,Mr. Molony,Assistant to the Board,,
NT50004.txt,1967-01-09,Mr. Fauver,Assistant to the Board,,
NT50004.txt,1967-01-09,Mr. Hackley,General Counsel,,
NT50004.txt,1967-01-09,Mr. Solomon,Director,,
NT50004.txt,1967-01-09,Mr. Morgan,Staff Assistant,,
NT50004.txt,1967-01-09,Messrs. Koch,Williams,,
NT50004.txt,1967-01-09,Messrs. Sammons,Hersey,,
NT50004.txt,1967-01-09,Mrs. Junz of the,,,
NT50004.txt,1967-01-09,Messrs. Brill,Solomon,,
NT50004.txt,1967-01-09,Messrs. Hackley,Shay,,
NT50004.txt,1967-01-09,Mr. Golden of the Division of R e s e a r c h and Statistics,,,
